name,industry,location,stage,amount_gbp,date
"Solena Materials",Materials,"London, UK",Seed,4984230.00,2025
"Materials Market",Materials,"London, UK",Venture,1985454.00,2025
NCIMB,Manufacturing,"London, UK","Private Equity",1695845.00,2025
