Company,Location,Industry,Website,Stage,Amount,Lead Investor,Date
Filed,"London, UK",FinTech,https://filed.com,Seed,"12,793,604.00",Not specified,2025
Some Grub,"London, UK",Food,https://somegrub.co.uk,Pre-Seed,"268,517.00",Not specified,2025
Vertice,"London, UK",SaaS,https://vertice.one,Series,"81,560,705.00",Not specified,2025
Robin AI,"London, UK",AI,https://robin.ai,Series,"56,766,885.00",Not specified,2025
Switchee,"London, UK",CleanTech,https://switchee.co,Series,"15,513,930.00",Not specified,2025
Lindus Health,"London, UK",HealthTech,https://lindushealth.com,Series,"52,866,870.00",Not specified,2025
Monument Bank,"London, UK",FinTech,https://monumentbank.com,Series,"140,492,007.00",Not specified,2025
MAGIC,"Chigwell, UK",Consumer,https://magic.co.uk,Series,0.00,Not specified,2025
Autone,"London, UK",AI/SaaS,https://autone.com,Series A,"12,644,600.00",General Catalyst,2024
Definition Health,"London, UK",HealthTech,https://definitionhealth.com,Pre-Seed,"5,750,000.00",Dr. David Redfern,2024
Newcleo,"London, UK",CleanTech,https://newcleo.com,Venture,"117,004,500.00",Exor Ventures,2024
FINBOURNE Technology,"London, UK",FinTech,https://finbourne.com,Series B,"100,000,000.00",HSBC,2024
Form3,"London, UK",FinTech,https://form3.tech,Series C,"46,000,000.00",Mastercard,2024
Doccla,"London, UK",HealthTech,https://doccla.com,Series B,"35,000,000.00",General Catalyst,2024
Novatus Global,"London, UK",SaaS,https://novatusglobal.com,Series A,"29,752,000.00",Maven Capital Partners,2024
Manual,"London, UK",HealthTech,https://manual.co,Venture,"29,000,000.00",Octopus Ventures,2024
Datamaran,"London, UK",AI/SaaS,https://datamaran.com,Series C,"24,545,400.00",Fortive,2024
Yonder,"London, UK",FinTech,https://yonder.co,Venture,"23,400,000.00",Seedcamp,2024
Raycast,"London, UK",SaaS,https://raycast.com,Series B,"23,400,900.00",Y Combinator,2024
Apron,"London, UK",FinTech,https://apron.co,Series B,"22,000,000.00",Bessemer Venture Partners,2024
Notpla,"London, UK",CleanTech,https://notpla.com,Series A,"20,000,000.00",Rosebrook,2024
11x,"London, UK",AI,https://11x.ai,Series A,"17,851,200.00",Abstract Ventures,2024
Ferovinum,"London, UK",FinTech,https://ferovinum.com,Series A,"18,027,360.00",Notion Capital,2024
BMLL Technologies,"London, UK",FinTech,https://bmlltech.com,Series B,"16,000,000.00",CTC Venture Capital,2024
Hometree,"London, UK",CleanTech,https://hometree.co.uk,Mezzanine,"50,000,000.00",CPPIB Credit Investments Inc.,2024
Cult Mia,"London, UK",E-commerce,https://cultmia.com,Seed,"3,719,000.00",Fuel Ventures,2024
iGent AI,"London, UK",AI/SaaS,https://igent.ai,Seed,"6,300,000.00",HV Capital,2024
Auquan,"London, UK",FinTech,https://auquan.com,Seed,"3,719,000.00",Peak XV,2024
GridBeyond,"London, UK",CleanTech,https://gridbeyond.com,Grant,"5,801,640.00",U.S. Department of Energy,2024
Mindtech Global,"London, UK",AI/DeepTech,https://mindtechglobal.com,Series A,"4,400,000.00",Edge,2024
Birl,"Liverpool, UK",E-commerce,https://birl.co.uk,Pre-Seed,"500,000.00",Not specified,2024
Anam.ai,"London, UK",AI,https://anam.ai,Pre-Seed,"1,710,740.00",Concept Ventures,2024
